question,answer,risk_severity,nist_pillar,achivement_type,identified_risk,remediation_plan,policy_document_link,id
Your service protection policies and processes are not well communicated across your organisation?,yes,Medium,Protect,Not Achieved,Your service protection policies and processes are not well communicated across your Organisation,"Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Policy,201
Your service protection policies and processes are not well communicated across your organisation?,no,No risk,Protect,Not Achieved,Your service protection policies and processes are not well communicated across your Organisation,"Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Policy,202
Most of your service protection policies and processes are followed and their application is monitored?,yes,Low,Protect,Partially Achieved,"Most of your service protection policies and processes are followed, and their application is monitored","Strengthen monitoring and enforcement mechanisms to ensure consistent adherence to service protection policies and processes across all Organisational functions. Implement automated monitoring tools, conduct regular audits and assessments, and establish clear accountability measures to promote compliance and address any identified deviations promptly. Provide ongoing training and support to staff to reinforce the importance of policy compliance and encourage best practices.",Information Security Policy,203
Most of your service protection policies and processes are followed and their application is monitored?,no,No risk,Protect,Partially Achieved,"Most of your service protection policies and processes are followed, and their application is monitored","Strengthen monitoring and enforcement mechanisms to ensure consistent adherence to service protection policies and processes across all Organisational functions. Implement automated monitoring tools, conduct regular audits and assessments, and establish clear accountability measures to promote compliance and address any identified deviations promptly. Provide ongoing training and support to staff to reinforce the importance of policy compliance and encourage best practices.",Information Security Policy,204
"Your service protection policies and processes are integrated with other organisational policies and processes, including HR assessments of individuals' trustworthiness?",yes,Low,Protect,Partially Achieved,"Your service protection policies and processes are integrated with other Organisational policies and processes, including HR assessments of individuals' trustworthiness","Develop cross-functional collaboration frameworks to facilitate integration and alignment of service protection policies and processes with other Organisational functions, such as HR assessments, IT governance, and risk management practices. Establish clear communication channels and collaboration mechanisms to ensure coherence and consistency in policy implementation and enforcement. Regularly review and update policies to reflect changes in Organisational structure, technology, and regulatory requirements.",Security Assessment and Authorization Policy,205
"Your service protection policies and processes are integrated with other organisational policies and processes, including HR assessments of individuals' trustworthiness?",no,No risk,Protect,Partially Achieved,"Your service protection policies and processes are integrated with other Organisational policies and processes, including HR assessments of individuals' trustworthiness","Develop cross-functional collaboration frameworks to facilitate integration and alignment of service protection policies and processes with other Organisational functions, such as HR assessments, IT governance, and risk management practices. Establish clear communication channels and collaboration mechanisms to ensure coherence and consistency in policy implementation and enforcement. Regularly review and update policies to reflect changes in Organisational structure, technology, and regulatory requirements.",Security Assessment and Authorization Policy,206
All staff are aware of their responsibilities under your service protection policies and processes?,yes,Medium,Protect,Partially Achieved,All staff are aware of their responsibilities under your service protection policies and processes,Develop and disseminate clear and concise documentation outlining staff responsibilities under service protection policies and processes. Provide comprehensive training sessions and ongoing support to ensure staff awareness and understanding of their roles in maintaining security and compliance. Regularly communicate updates and changes to policies and processes to keep staff informed and engaged.,Information Security Policy,207
All staff are aware of their responsibilities under your service protection policies and processes?,no,No risk,Protect,Partially Achieved,All staff are aware of their responsibilities under your service protection policies and processes,Develop and disseminate clear and concise documentation outlining staff responsibilities under service protection policies and processes. Provide comprehensive training sessions and ongoing support to ensure staff awareness and understanding of their roles in maintaining security and compliance. Regularly communicate updates and changes to policies and processes to keep staff informed and engaged.,Information Security Policy,208
"All breaches of service protection policies and processes with the potential to disrupt the essential service are fully investigated. Other breaches are tracked, assessed for trends and action is taken to understand and address?",yes,Medium,Protect,Partially Achieved,"All breaches of service protection policies and processes with the potential to disrupt the essential service are fully investigated. Other breaches are tracked, assessed for trends, and action is taken to understand and address","Implement a comprehensive incident response framework to ensure prompt and effective investigation of breaches of service protection policies and processes. Establish clear reporting channels, conduct thorough post-incident reviews, and identify root causes and contributing factors to breaches. Develop corrective action plans to address identified issues and mitigate the risk of future incidents. Regularly review and update incident response procedures to reflect lessons learned and changes in Organisational requirements.",Information Security Policy,209
"All breaches of service protection policies and processes with the potential to disrupt the essential service are fully investigated. Other breaches are tracked, assessed for trends and action is taken to understand and address?",no,No risk,Protect,Partially Achieved,"All breaches of service protection policies and processes with the potential to disrupt the essential service are fully investigated. Other breaches are tracked, assessed for trends, and action is taken to understand and address","Implement a comprehensive incident response framework to ensure prompt and effective investigation of breaches of service protection policies and processes. Establish clear reporting channels, conduct thorough post-incident reviews, and identify root causes and contributing factors to breaches. Develop corrective action plans to address identified issues and mitigate the risk of future incidents. Regularly review and update incident response procedures to reflect lessons learned and changes in Organisational requirements.",Information Security Policy,210
"All your service protection policies and processes are followed, their correct application and security effectiveness is evaluated?",no,Low,Protect,Achieved,"All your service protection policies and processes are followed, their correct application and security effectiveness are evaluated","Implement robust monitoring and evaluation mechanisms to assess the effectiveness of service protection policies and processes in safeguarding Organisational assets and maintaining operational resilience. Utilize key performance indicators (KPIs), metrics, and performance benchmarks to measure compliance and effectiveness. Conduct regular audits, assessments, and reviews to identify areas for improvement and implement corrective actions promptly.",Information Security Policy,211
"All your service protection policies and processes are followed, their correct application and security effectiveness is evaluated?",yes,No risk,Protect,Achieved,"All your service protection policies and processes are followed, their correct application and security effectiveness are evaluated","Implement robust monitoring and evaluation mechanisms to assess the effectiveness of service protection policies and processes in safeguarding Organisational assets and maintaining operational resilience. Utilize key performance indicators (KPIs), metrics, and performance benchmarks to measure compliance and effectiveness. Conduct regular audits, assessments, and reviews to identify areas for improvement and implement corrective actions promptly.",Information Security Policy,212
"Your service protection policies and processes are integrated with other organisational policies and processes, including HR assessments of individuals' trustworthiness?",no,Low,Protect,Achieved,"Your service protection policies and processes are effectively and appropriately communicated across all levels of the Organisation, resulting in good staff awareness of their responsibilities","Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Risk Management Standard,213
"Your service protection policies and processes are integrated with other organisational policies and processes, including HR assessments of individuals' trustworthiness?",yes,No risk,Protect,Achieved,"Your service protection policies and processes are effectively and appropriately communicated across all levels of the Organisation, resulting in good staff awareness of their responsibilities","Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Risk Management Standard,214
Your service protection policies and processes are effectively and appropriately communicated across all levels of the organisation resulting in good staff awareness of their responsibilities?,no,Low,Protect,Achieved,"Your service protection policies and processes are effectively and appropriately communicated across all levels of the Organisation, resulting in good staff awareness of their responsibilities","Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Risk Management Standard,215
Your service protection policies and processes are effectively and appropriately communicated across all levels of the organisation resulting in good staff awareness of their responsibilities?,yes,No risk,Protect,Achieved,"Your service protection policies and processes are effectively and appropriately communicated across all levels of the Organisation, resulting in good staff awareness of their responsibilities","Develop a comprehensive communication strategy to ensure effective dissemination of service protection policies and processes across all levels of the Organisation. Utilize various communication channels, such as email, intranet, training sessions, and town hall meetings, to reach a wide audience and promote awareness and understanding of policies and processes. Solicit feedback from staff to identify areas for improvement in communication and address any identified gaps promptly.",Information Security Risk Management Standard,216
Appropriate action is taken to address all breaches of service protection policies and processes with potential to disrupt the essential service including aggregated breaches?,no,Low,Protect,Achieved,"Appropriate action is taken to address all breaches of service protection policies and processes with potential to disrupt the essential service, including aggregated breaches","Implement a comprehensive incident response framework to ensure prompt and effective mitigation of breaches of service protection policies and processes. Establish clear reporting channels, conduct thorough post-incident reviews, and identify root causes and contributing factors to breaches. Develop corrective action plans to address identified issues and mitigate the risk of future incidents. Regularly review and update incident response procedures to reflect lessons learned and changes in Organisational requirements.",Information Security Policy,217
Appropriate action is taken to address all breaches of service protection policies and processes with potential to disrupt the essential service including aggregated breaches?,yes,No risk,Protect,Achieved,"Appropriate action is taken to address all breaches of service protection policies and processes with potential to disrupt the essential service, including aggregated breaches","Implement a comprehensive incident response framework to ensure prompt and effective mitigation of breaches of service protection policies and processes. Establish clear reporting channels, conduct thorough post-incident reviews, and identify root causes and contributing factors to breaches. Develop corrective action plans to address identified issues and mitigate the risk of future incidents. Regularly review and update incident response procedures to reflect lessons learned and changes in Organisational requirements.",Information Security Policy,218
At least one of the following statements is true: Authorised users with access to networks or information systems on which your essential service depends cannot be individually identified?,yes,High,Protect,Not Achieved,Inability to individually identify authorized users accessing essential service networks,"- Implement user authentication mechanisms that enable individual identification, such as username/password combinations or biometric authentication. - Ensure user accounts are linked to specific individuals and regularly reviewed for accuracy.",Policy is not availble,219
At least one of the following statements is true: Authorised users with access to networks or information systems on which your essential service depends cannot be individually identified?,no,No risk,Protect,Not Achieved,Inability to individually identify authorized users accessing essential service networks,"- Implement user authentication mechanisms that enable individual identification, such as username/password combinations or biometric authentication. - Ensure user accounts are linked to specific individuals and regularly reviewed for accuracy.",Policy is not availble,220
All unauthorised individuals or devices can access your networks or information systems on which your essential service depends?,yes,High,Protect,Not Achieved,Unauthorized individuals or devices having access to essential service networks,"- Strengthen access control measures to prevent unauthorized access, such as implementing network segmentation, firewalls, and intrusion detection systems. - Conduct regular audits to identify and remediate unauthorized access points.",Policy is not availble,221
All unauthorised individuals or devices can access your networks or information systems on which your essential service depends?,no,No risk,Protect,Not Achieved,Unauthorized individuals or devices having access to essential service networks,"- Strengthen access control measures to prevent unauthorized access, such as implementing network segmentation, firewalls, and intrusion detection systems. - Conduct regular audits to identify and remediate unauthorized access points.",Policy is not availble,222
User access is not limited to the minimum necessary?,yes,High,Protect,Not Achieved,Failure to limit user access to the minimum necessary,- Implement access control policies that restrict user permissions based on the principle of least privilege. - Conduct regular access reviews to ensure users only have access to resources necessary for their roles.,Policy is not availble,223
User access is not limited to the minimum necessary?,no,No risk,Protect,Not Achieved,Failure to limit user access to the minimum necessary,- Implement access control policies that restrict user permissions based on the principle of least privilege. - Conduct regular access reviews to ensure users only have access to resources necessary for their roles.,Policy is not availble,224
All authorised users with access to networks or information systems on which your essential service depends are individually identified and authenticated?,yes,Medium,Protect,Partially Achieved,Partial identification and authentication of authorized users,- Strengthen authentication mechanisms to ensure all authorized users are individually identified and authenticated before accessing essential service networks. - Implement multi-factor authentication (MFA) or biometric authentication where feasible.,Policy is not availble,225
All authorised users with access to networks or information systems on which your essential service depends are individually identified and authenticated?,no,No risk,Protect,Partially Achieved,Partial identification and authentication of authorized users,- Strengthen authentication mechanisms to ensure all authorized users are individually identified and authenticated before accessing essential service networks. - Implement multi-factor authentication (MFA) or biometric authentication where feasible.,Policy is not availble,226
User access to essential service networks and information systems is limited to the minimum necessary?,yes,Medium,Protect,Partially Achieved,Partial limitation of user access to the minimum necessary,- Review and refine access control policies to ensure access restrictions align with the principle of least privilege. - Conduct regular access audits to identify and revoke unnecessary permissions.,Policy is not availble,227
User access to essential service networks and information systems is limited to the minimum necessary?,no,No risk,Protect,Partially Achieved,Partial limitation of user access to the minimum necessary,- Review and refine access control policies to ensure access restrictions align with the principle of least privilege. - Conduct regular access audits to identify and revoke unnecessary permissions.,Policy is not availble,228
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, for privileged access to sensitive systems such as operational technology?",yes,Medium,Protect,Partially Achieved,Partial use of additional authentication mechanisms for privileged access,- Implement two-factor authentication (2FA) or hardware-backed certificates for all privileged access accounts. - Enforce strict password policies and regularly rotate access credentials.,Policy is not availble,229
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, for privileged access to sensitive systems such as operational technology?",no,No risk,Protect,Partially Achieved,Partial use of additional authentication mechanisms for privileged access,- Implement two-factor authentication (2FA) or hardware-backed certificates for all privileged access accounts. - Enforce strict password policies and regularly rotate access credentials.,Policy is not availble,230
You individually authenticate and authorise all remote user access to all your networks and information systems that support your essential service?,yes,Medium,Protect,Partially Achieved,Partial individual authentication and authorization of remote user access,- Implement secure remote access solutions that require individual authentication and authorization for each user. - Monitor remote access logs for suspicious activity and unauthorized access attempts.,Policy is not availble,231
You individually authenticate and authorise all remote user access to all your networks and information systems that support your essential service?,no,No risk,Protect,Partially Achieved,Partial individual authentication and authorization of remote user access,- Implement secure remote access solutions that require individual authentication and authorization for each user. - Monitor remote access logs for suspicious activity and unauthorized access attempts.,Policy is not availble,232
"The list of users with access to essential service networks and systems is reviewed on a regular basis, at least annually?",yes,Medium,Protect,Partially Achieved,Partial review of user access lists for essential service networks,"- Establish a regular review schedule for user access lists, ensuring they are reviewed at least annually. - Automate access reviews where possible to streamline the process and ensure consistency.",Policy is not availble,233
"The list of users with access to essential service networks and systems is reviewed on a regular basis, at least annually?",no,No risk,Protect,Partially Achieved,Partial review of user access lists for essential service networks,"- Establish a regular review schedule for user access lists, ensuring they are reviewed at least annually. - Automate access reviews where possible to streamline the process and ensure consistency.",Policy is not availble,234
Only authorised and individually authenticated users can physically access and logically connect to your networks or information systems on which your essential service depends?,no,Low,Protect,Achieved,Physically or logically unrestricted access to essential service networks,"- Implement physical security measures such as access control systems, surveillance cameras, and secure entry points to restrict physical access to essential service networks. - Implement network segmentation and robust authentication mechanisms to limit logical access.",Policy is not availble,235
Only authorised and individually authenticated users can physically access and logically connect to your networks or information systems on which your essential service depends?,yes,No risk,Protect,Achieved,Physically or logically unrestricted access to essential service networks,"- Implement physical security measures such as access control systems, surveillance cameras, and secure entry points to restrict physical access to essential service networks. - Implement network segmentation and robust authentication mechanisms to limit logical access.",Policy is not availble,236
User access to all your networks and information systems supporting the essential service is limited to the minimum necessary?,no,Low,Protect,Achieved,Full restriction of user access to the minimum necessary,- Continuously monitor user permissions and refine access control policies to ensure access is limited to the minimum necessary for each user's role. - Conduct regular access audits to identify and remediate excessive permissions.,Policy is not availble,237
User access to all your networks and information systems supporting the essential service is limited to the minimum necessary?,yes,No risk,Protect,Achieved,Full restriction of user access to the minimum necessary,- Continuously monitor user permissions and refine access control policies to ensure access is limited to the minimum necessary for each user's role. - Conduct regular access audits to identify and remediate excessive permissions.,Policy is not availble,238
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, for privileged access to all systems that operate or support your essential service?",no,Low,Protect,Achieved,Full use of additional authentication mechanisms for privileged access,"- Enforce the use of two-factor authentication (2FA) or hardware-backed certificates for all privileged access accounts, including remote and local access. - Implement strict access control policies for privileged accounts, including regular password rotation and account review.",Policy is not availble,239
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, for privileged access to all systems that operate or support your essential service?",yes,No risk,Protect,Achieved,Full use of additional authentication mechanisms for privileged access,"- Enforce the use of two-factor authentication (2FA) or hardware-backed certificates for all privileged access accounts, including remote and local access. - Implement strict access control policies for privileged accounts, including regular password rotation and account review.",Policy is not availble,240
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, when you individually authenticate and authorise all remote user access to all your networks and information systems that support your essential service?",no,Low,Protect,Achieved,Full use of additional authentication mechanisms for remote user access,- Implement two-factor authentication (2FA) or hardware-backed certificates for all remote user access to essential service networks. - Regularly review and update remote access policies to align with security best practices and regulatory requirements.,Policy is not availble,241
"You use additional authentication mechanisms, such as two-factor or hardware-backed certificates, when you individually authenticate and authorise all remote user access to all your networks and information systems that support your essential service?",yes,No risk,Protect,Achieved,Full use of additional authentication mechanisms for remote user access,- Implement two-factor authentication (2FA) or hardware-backed certificates for all remote user access to essential service networks. - Regularly review and update remote access policies to align with security best practices and regulatory requirements.,Policy is not availble,242
"The list of users with access to networks and systems supporting and delivering the essential service is reviewed on a regular basis, at least every six months?",no,Low,Protect,Achieved,Regular review of user access lists for essential service networks,"- Establish a regular review schedule for user access lists, ensuring they are reviewed at least every six months. - Automate access reviews and implement alerts for unauthorized access attempts to enhance monitoring and response capabilities.",Policy is not availble,243
"The list of users with access to networks and systems supporting and delivering the essential service is reviewed on a regular basis, at least every six months?",yes,No risk,Protect,Achieved,Regular review of user access lists for essential service networks,"- Establish a regular review schedule for user access lists, ensuring they are reviewed at least every six months. - Automate access reviews and implement alerts for unauthorized access attempts to enhance monitoring and response capabilities.",Policy is not availble,244
Users can connect to your essential service's networks using devices that are not corporately managed?,yes,High,Protect,Not Achieved,sers connecting to essential service networks using unmanaged devices,- Implement device management policies to enforce the use of corporately managed devices for accessing essential service networks. - Deploy network access control (NAC) solutions to restrict network access to authorized devices only.,Policy is not availble,245
Users can connect to your essential service's networks using devices that are not corporately managed?,no,No risk,Protect,Not Achieved,sers connecting to essential service networks using unmanaged devices,- Implement device management policies to enforce the use of corporately managed devices for accessing essential service networks. - Deploy network access control (NAC) solutions to restrict network access to authorized devices only.,Policy is not availble,246
Privileged users can perform administrative functions from devices that are not corporately managed?,yes,High,Protect,Not Achieved,Privileged users performing administrative functions from unmanaged devices,- Restrict administrative access to essential service networks to corporately managed devices only. - Implement multi-factor authentication (MFA) and strict access controls for privileged accounts.,Policy is not availble,247
Privileged users can perform administrative functions from devices that are not corporately managed?,no,No risk,Protect,Not Achieved,Privileged users performing administrative functions from unmanaged devices,- Restrict administrative access to essential service networks to corporately managed devices only. - Implement multi-factor authentication (MFA) and strict access controls for privileged accounts.,Policy is not availble,248
You have not gained assurance in the security of any third-party devices or networks connected to your systems?,yes,High,Protect,Not Achieved,Lack of assurance in security of third-party devices or networks,- Establish a vendor risk management program to assess the security posture of third-party devices and networks before connecting them to essential service systems. - Implement contractual agreements requiring third-party vendors to adhere to security standards and undergo regular security assessments.,Policy is not availble,249
You have not gained assurance in the security of any third-party devices or networks connected to your systems?,no,No risk,Protect,Not Achieved,Lack of assurance in security of third-party devices or networks,- Establish a vendor risk management program to assess the security posture of third-party devices and networks before connecting them to essential service systems. - Implement contractual agreements requiring third-party vendors to adhere to security standards and undergo regular security assessments.,Policy is not availble,250
Physically connecting a device to your network gives that device access to your essential service without device or user authentication?,yes,High,Protect,Not Achieved,Unauthenticated access granted to devices connected to the network,- Implement network access controls (NAC) and port-based authentication mechanisms to ensure device and user authentication before granting network access. - Deploy intrusion detection systems (IDS) to monitor and detect unauthorized access attempts.,Policy is not availble,251
Physically connecting a device to your network gives that device access to your essential service without device or user authentication?,no,No risk,Protect,Not Achieved,Unauthenticated access granted to devices connected to the network,- Implement network access controls (NAC) and port-based authentication mechanisms to ensure device and user authentication before granting network access. - Deploy intrusion detection systems (IDS) to monitor and detect unauthorized access attempts.,Policy is not availble,252
Only corporately owned and managed devices can access your essential service's networks and information systems?,yes,Medium,Protect,Partially Achieved,Partial restriction of access to corporately owned and managed devices,"- Strengthen device management policies to enforce stricter controls over network access, ensuring only corporately owned and managed devices can connect. - Implement device registration and authentication processes to verify device ownership and management status.",Policy is not availble,253
Only corporately owned and managed devices can access your essential service's networks and information systems?,no,No risk,Protect,Partially Achieved,Partial restriction of access to corporately owned and managed devices,"- Strengthen device management policies to enforce stricter controls over network access, ensuring only corporately owned and managed devices can connect. - Implement device registration and authentication processes to verify device ownership and management status.",Policy is not availble,254
All privileged access occurs from corporately management devices dedicated to management functions?,yes,Medium,Protect,Partially Achieved,Partial use of corporately managed devices for privileged access,"- Develop policies mandating the use of dedicated corporately managed devices for privileged actions, such as administration and network access. - Implement secure remote access solutions that enforce device authentication and authorization.",Policy is not availble,255
All privileged access occurs from corporately management devices dedicated to management functions?,no,No risk,Protect,Partially Achieved,Partial use of corporately managed devices for privileged access,"- Develop policies mandating the use of dedicated corporately managed devices for privileged actions, such as administration and network access. - Implement secure remote access solutions that enforce device authentication and authorization.",Policy is not availble,256
You have sought to understand the security properties of third-party devices and networks before they can be connected to your systems. You have taken appropriate steps to mitigate any risks identified?,yes,Medium,Protect,Partially Achieved,Partial understanding and mitigation of risks associated with third-party devices,- Conduct thorough security assessments of third-party devices and networks before integration with essential service systems. - Implement compensating controls and security measures to mitigate identified risks.,Policy is not availble,257
You have sought to understand the security properties of third-party devices and networks before they can be connected to your systems. You have taken appropriate steps to mitigate any risks identified?,no,No risk,Protect,Partially Achieved,Partial understanding and mitigation of risks associated with third-party devices,- Conduct thorough security assessments of third-party devices and networks before integration with essential service systems. - Implement compensating controls and security measures to mitigate identified risks.,Policy is not availble,258
The act of connecting to a network port or cable does not grant access to any systems?,yes,Medium,Protect,Partially Achieved,Connection to network ports or cables granting access without authentication,"- Implement port-based authentication mechanisms, such as IEEE 802.1X, to enforce device authentication before granting network access. - Regularly review and update network access policies to ensure alignment with security best practices.",Policy is not availble,259
The act of connecting to a network port or cable does not grant access to any systems?,no,No risk,Protect,Partially Achieved,Connection to network ports or cables granting access without authentication,"- Implement port-based authentication mechanisms, such as IEEE 802.1X, to enforce device authentication before granting network access. - Regularly review and update network access policies to ensure alignment with security best practices.",Policy is not availble,260
"You are able to detect unknown devices being connected to your network, and investigate such incidents?",yes,Medium,Protect,Partially Achieved,Ability to detect and investigate unknown devices connected to the network,- Deploy network monitoring and intrusion detection systems (IDS) to detect and alert on unauthorized device connections. - Establish incident response procedures to investigate and mitigate incidents involving unknown devices.,Policy is not availble,261
"You are able to detect unknown devices being connected to your network, and investigate such incidents?",no,No risk,Protect,Partially Achieved,Ability to detect and investigate unknown devices connected to the network,- Deploy network monitoring and intrusion detection systems (IDS) to detect and alert on unauthorized device connections. - Establish incident response procedures to investigate and mitigate incidents involving unknown devices.,Policy is not availble,262
Dedicated devices are used for privileged actions (such as administration or accessing the essential service's network and information systems). These devices are not used for directly browsing the web or accessing email?,no,Low,Protect,Achieved,Use of dedicated devices for privileged actions without web browsing or email access,- Implement device usage policies that restrict dedicated devices from accessing non-essential services such as web browsing and email. - Educate privileged users on the importance of maintaining device integrity and security.,Policy is not availble,263
Dedicated devices are used for privileged actions (such as administration or accessing the essential service's network and information systems). These devices are not used for directly browsing the web or accessing email?,yes,No risk,Protect,Achieved,Use of dedicated devices for privileged actions without web browsing or email access,- Implement device usage policies that restrict dedicated devices from accessing non-essential services such as web browsing and email. - Educate privileged users on the importance of maintaining device integrity and security.,Policy is not availble,264
"You either obtain independent and professional assurance of the security of third-party devices or networks before they connect to your systems, or you only allow third-party devices or networks dedicated to supporting your systems to connect?",no,Low,Protect,Achieved,Assurance of security for third-party devices or networks before connection,"- Establish criteria for evaluating the security of third-party devices and networks, including independent security assessments and certifications. - Require third-party vendors to provide documentation and evidence of compliance with security standards.",Policy is not availble,265
"You either obtain independent and professional assurance of the security of third-party devices or networks before they connect to your systems, or you only allow third-party devices or networks dedicated to supporting your systems to connect?",yes,No risk,Protect,Achieved,Assurance of security for third-party devices or networks before connection,"- Establish criteria for evaluating the security of third-party devices and networks, including independent security assessments and certifications. - Require third-party vendors to provide documentation and evidence of compliance with security standards.",Policy is not availble,266
You perform certificate-based device identity management and only allow known devices to access essential services?,no,Low,Protect,Achieved,Certificate-based device identity management for known device access,- Implement certificate-based authentication mechanisms to verify the identity of known devices before granting access to essential services. - Regularly update and manage device certificates to maintain security and integrity.,Policy is not availble,267
You perform certificate-based device identity management and only allow known devices to access essential services?,yes,No risk,Protect,Achieved,Certificate-based device identity management for known device access,- Implement certificate-based authentication mechanisms to verify the identity of known devices before granting access to essential services. - Regularly update and manage device certificates to maintain security and integrity.,Policy is not availble,268
You perform regular scans to detect unknown devices and investigate any findings?,no,Low,Protect,Achieved,Regular scans to detect and investigate unknown devices on the network,- Deploy network scanning tools to regularly scan for and identify unknown devices connected to the network. - Establish procedures for investigating and mitigating security incidents involving unknown devices.,Policy is not availble,269
You perform regular scans to detect unknown devices and investigate any findings?,yes,No risk,Protect,Achieved,Regular scans to detect and investigate unknown devices on the network,- Deploy network scanning tools to regularly scan for and identify unknown devices connected to the network. - Establish procedures for investigating and mitigating security incidents involving unknown devices.,Policy is not availble,270
"The identities of the individuals with privileged access to your essential service systems (infrastructure, platforms, software, configuration, etc) are not known or not managed ?",yes,High,Protect,Not Achieved,Unknown or unmanaged privileged user identities,- Implement centralized privileged user management solutions to track and manage privileged user identities. - Enforce user authentication and authorization processes for privileged access.,Policy is not availble,271
"The identities of the individuals with privileged access to your essential service systems (infrastructure, platforms, software, configuration, etc) are not known or not managed ?",no,No risk,Protect,Not Achieved,Unknown or unmanaged privileged user identities,- Implement centralized privileged user management solutions to track and manage privileged user identities. - Enforce user authentication and authorization processes for privileged access.,Policy is not availble,272
"Privileged user access to your essential service systems is via weak authentication mechanisms. (e.g. only simple passwords.)?
",yes,High,Protect,Not Achieved,Weak authentication mechanisms for privileged user access,- Upgrade authentication mechanisms for privileged user access to include multi-factor authentication (MFA) or hardware authentication tokens. - Enforce strong password policies and regular password rotation for privileged accounts.,Policy is not availble,273
"Privileged user access to your essential service systems is via weak authentication mechanisms. (e.g. only simple passwords.)?
",no,No risk,Protect,Not Achieved,Weak authentication mechanisms for privileged user access,- Upgrade authentication mechanisms for privileged user access to include multi-factor authentication (MFA) or hardware authentication tokens. - Enforce strong password policies and regular password rotation for privileged accounts.,Policy is not availble,274
The list of privileged users has not been reviewed recently. (e.g. within the last 12 months.)?,yes,High,Protect,Not Achieved,Infrequent review of privileged user lists,"- Establish regular review cycles for privileged user lists, ensuring they are reviewed at least annually. - Implement automated alerts for unauthorized changes to privileged user access.",Policy is not availble,275
The list of privileged users has not been reviewed recently. (e.g. within the last 12 months.)?,no,No risk,Protect,Not Achieved,Infrequent review of privileged user lists,"- Establish regular review cycles for privileged user lists, ensuring they are reviewed at least annually. - Implement automated alerts for unauthorized changes to privileged user access.",Policy is not availble,276
Privileged user access is granted on a system-wide basis rather than by role or function?,yes,High,Protect,Not Achieved,System-wide granting of privileged access instead of role-based access,- Implement role-based access control (RBAC) mechanisms to restrict privileged access based on user roles and responsibilities. - Define and enforce least privilege principles to limit privileged access to essential functions only.,Policy is not availble,277
